device_id,device_type,manufacturer,model,ward,ward_criticality,patient_impact,criticality,serial_number,purchase_date,last_maintenance,next_maintenance,network_segment,ip_address
D0015,Infusion Pump,Smiths Medical,INF-999,ICU,1.5,CRITICAL_CARE,High,SM50306,2021-01-08,2025-10-15,2026-05-28,CRITICAL_CARE,10.22.188.125
D0016,Infusion Pump,Baxter,INF-878,ICU,1.5,CRITICAL_CARE,High,BA79822,2021-03-22,2025-11-08,2026-09-25,CRITICAL_CARE,10.43.68.136
D0017,Infusion Pump,Fresenius,INF-533,GENERAL_WARD,1.0,CRITICAL_CARE,High,FR37760,2024-12-23,2026-01-17,2026-07-26,GENERAL,10.103.255.172
D0018,Infusion Pump,Smiths Medical,INF-548,GENERAL_WARD,1.0,CRITICAL_CARE,High,SM77839,2023-02-08,2026-01-11,2026-05-24,GENERAL,10.87.6.151
D0019,Infusion Pump,Fresenius,INF-335,GENERAL_WARD,1.0,CRITICAL_CARE,High,FR87128,2021-01-03,2026-02-22,2026-07-05,GENERAL,10.18.232.9
D0020,Infusion Pump,Smiths Medical,INF-172,GENERAL_WARD,1.0,CRITICAL_CARE,High,SM77391,2021-05-22,2025-11-05,2026-07-01,GENERAL,10.139.34.186
D0021,Infusion Pump,Fresenius,INF-690,GENERAL_WARD,1.0,CRITICAL_CARE,High,FR71953,2021-08-26,2025-11-25,2026-06-25,GENERAL,10.25.25.169
D0022,Infusion Pump,ICU Medical,INF-462,GENERAL_WARD,1.0,CRITICAL_CARE,High,IC65519,2023-08-28,2026-02-24,2026-06-02,GENERAL,10.16.104.187
D0023,Infusion Pump,Smiths Medical,INF-919,GENERAL_WARD,1.0,CRITICAL_CARE,High,SM24322,2021-04-07,2025-10-23,2026-08-30,GENERAL,10.36.109.47
D0024,Infusion Pump,Smiths Medical,INF-573,GENERAL_WARD,1.0,CRITICAL_CARE,High,SM42742,2020-08-26,2025-10-20,2026-06-02,GENERAL,10.13.167.139
D0025,Infusion Pump,Baxter,INF-195,GENERAL_WARD,1.0,CRITICAL_CARE,High,BA40982,2021-07-16,2025-11-06,2026-07-01,GENERAL,10.222.103.232
D0026,Infusion Pump,Baxter,INF-268,EMERGENCY,1.3,CRITICAL_CARE,High,BA59672,2020-07-09,2025-11-13,2026-07-20,CRITICAL_CARE,10.109.179.246
D0027,Infusion Pump,Fresenius,INF-777,EMERGENCY,1.3,CRITICAL_CARE,High,FR73788,2021-04-10,2026-01-13,2026-05-22,CRITICAL_CARE,10.149.189.139
D0028,Infusion Pump,Baxter,INF-865,EMERGENCY,1.3,CRITICAL_CARE,High,BA51104,2020-01-19,2025-11-07,2026-09-13,CRITICAL_CARE,10.236.219.136
D0029,Infusion Pump,BD Alaris,INF-158,EMERGENCY,1.3,CRITICAL_CARE,High,BD76562,2020-03-03,2026-02-20,2026-07-07,CRITICAL_CARE,10.104.31.242
D0030,Infusion Pump,Fresenius,INF-352,EMERGENCY,1.3,CRITICAL_CARE,High,FR85880,2024-01-20,2026-02-17,2026-08-23,CRITICAL_CARE,10.169.150.145
D0031,Infusion Pump,Fresenius,INF-423,EMERGENCY,1.3,CRITICAL_CARE,High,FR44179,2021-11-23,2025-12-19,2026-07-08,CRITICAL_CARE,10.68.102.34
D0032,Infusion Pump,Smiths Medical,INF-568,EMERGENCY,1.3,CRITICAL_CARE,High,SM51441,2020-01-15,2025-10-16,2026-06-02,CRITICAL_CARE,10.19.138.55
D0033,Infusion Pump,Fresenius,INF-371,ONCOLOGY,1.1,CRITICAL_CARE,High,FR27361,2022-02-08,2025-12-05,2026-07-19,CLINICAL,10.41.113.214
D0034,Infusion Pump,Fresenius,INF-820,ONCOLOGY,1.1,CRITICAL_CARE,High,FR49651,2024-11-17,2026-03-07,2026-09-26,CLINICAL,10.77.239.170
D0035,Infusion Pump,Baxter,INF-999,ONCOLOGY,1.1,CRITICAL_CARE,High,BA27601,2022-02-04,2025-10-19,2026-06-16,CLINICAL,10.70.73.155
D0036,Infusion Pump,BD Alaris,INF-834,ONCOLOGY,1.1,CRITICAL_CARE,High,BD54942,2021-11-21,2026-01-01,2026-09-14,CLINICAL,10.126.65.232
D0037,Infusion Pump,Baxter,INF-194,ONCOLOGY,1.1,CRITICAL_CARE,High,BA93136,2023-05-02,2026-03-09,2026-08-01,CLINICAL,10.198.34.164
D0038,Infusion Pump,Smiths Medical,INF-265,ONCOLOGY,1.1,CRITICAL_CARE,High,SM67912,2024-12-14,2025-10-17,2026-05-10,CLINICAL,10.29.20.242
D0039,Infusion Pump,BD Alaris,INF-658,ONCOLOGY,1.1,CRITICAL_CARE,High,BD14722,2022-10-18,2026-01-31,2026-08-26,CLINICAL,10.33.11.79
D0040,Infusion Pump,Smiths Medical,INF-915,PEDIATRICS,1.2,CRITICAL_CARE,High,SM15229,2022-04-22,2026-01-05,2026-06-03,CLINICAL,10.91.200.144
D0041,Infusion Pump,ICU Medical,INF-735,PEDIATRICS,1.2,CRITICAL_CARE,High,IC30257,2021-03-26,2026-01-23,2026-08-21,CLINICAL,10.7.46.189
D0042,Infusion Pump,Smiths Medical,INF-901,PEDIATRICS,1.2,CRITICAL_CARE,High,SM63964,2021-05-06,2026-02-10,2026-08-13,CLINICAL,10.224.10.220
D0043,Infusion Pump,ICU Medical,INF-327,PEDIATRICS,1.2,CRITICAL_CARE,High,IC36158,2023-06-10,2026-01-10,2026-07-04,CLINICAL,10.7.169.50
D0044,Infusion Pump,ICU Medical,INF-436,PEDIATRICS,1.2,CRITICAL_CARE,High,IC46517,2020-05-12,2025-10-30,2026-08-18,CLINICAL,10.174.252.216
D0045,Infusion Pump,Fresenius,INF-439,PEDIATRICS,1.2,CRITICAL_CARE,High,FR13617,2020-05-06,2025-10-12,2026-07-14,CLINICAL,10.10.28.153
D0046,Infusion Pump,ICU Medical,INF-453,PEDIATRICS,1.2,CRITICAL_CARE,High,IC51114,2023-10-17,2026-02-08,2026-08-14,CLINICAL,10.231.148.49
D0047,Infusion Pump,Smiths Medical,INF-145,PEDIATRICS,1.2,CRITICAL_CARE,High,SM67154,2020-09-26,2025-10-23,2026-06-27,CLINICAL,10.94.111.18
D0048,Infusion Pump,Smiths Medical,INF-738,PEDIATRICS,1.2,CRITICAL_CARE,High,SM51145,2020-12-10,2025-10-31,2026-07-26,CLINICAL,10.171.105.84
D0049,Infusion Pump,ICU Medical,INF-813,PEDIATRICS,1.2,CRITICAL_CARE,High,IC48752,2024-03-07,2025-11-22,2026-08-13,CLINICAL,10.174.192.232
D0050,Infusion Pump,BD Alaris,INF-730,PEDIATRICS,1.2,CRITICAL_CARE,High,BD84593,2022-07-18,2026-03-09,2026-07-24,CLINICAL,10.74.54.111
D0051,Infusion Pump,Fresenius,INF-721,CARDIOLOGY,1.2,CRITICAL_CARE,High,FR95813,2022-08-15,2025-11-16,2026-07-01,CRITICAL_CARE,10.131.122.204
D0052,Infusion Pump,BD Alaris,INF-774,CARDIOLOGY,1.2,CRITICAL_CARE,High,BD21114,2022-09-22,2025-12-14,2026-05-31,CRITICAL_CARE,10.210.244.193
D0053,Infusion Pump,BD Alaris,INF-788,CARDIOLOGY,1.2,CRITICAL_CARE,High,BD50687,2021-04-05,2026-03-03,2026-05-19,CRITICAL_CARE,10.63.252.122
D0054,Infusion Pump,Fresenius,INF-970,CARDIOLOGY,1.2,CRITICAL_CARE,High,FR19545,2023-07-21,2025-10-13,2026-06-26,CRITICAL_CARE,10.184.179.99
D0055,Infusion Pump,ICU Medical,INF-509,CARDIOLOGY,1.2,CRITICAL_CARE,High,IC41979,2021-11-23,2026-03-08,2026-06-04,CRITICAL_CARE,10.200.109.57
D0056,Infusion Pump,BD Alaris,INF-923,CARDIOLOGY,1.2,CRITICAL_CARE,High,BD77889,2023-01-18,2026-01-05,2026-06-08,CRITICAL_CARE,10.117.35.206
D0057,Infusion Pump,ICU Medical,INF-783,CARDIOLOGY,1.2,CRITICAL_CARE,High,IC79616,2024-10-11,2025-11-16,2026-09-14,CRITICAL_CARE,10.110.213.233
D0058,Infusion Pump,Fresenius,INF-556,CARDIOLOGY,1.2,CRITICAL_CARE,High,FR30861,2023-08-09,2026-01-05,2026-07-17,CRITICAL_CARE,10.197.200.134
D0059,Infusion Pump,ICU Medical,INF-741,CARDIOLOGY,1.2,CRITICAL_CARE,High,IC41358,2022-08-03,2025-12-26,2026-07-07,CRITICAL_CARE,10.70.86.82
D0060,Patient Monitor,GE Healthcare,PAT-379,ICU,1.5,MONITORING,High,GE67125,2023-01-13,2025-12-13,2026-08-19,CRITICAL_CARE,10.186.43.216
D0061,Patient Monitor,Nihon Kohden,PAT-230,ICU,1.5,MONITORING,High,NI91560,2024-01-13,2025-10-16,2026-05-14,CRITICAL_CARE,10.22.165.110
D0062,Patient Monitor,GE Healthcare,PAT-987,ICU,1.5,MONITORING,High,GE70515,2021-01-09,2025-12-02,2026-07-30,CRITICAL_CARE,10.55.117.84
D0063,Patient Monitor,Mindray,PAT-879,ICU,1.5,MONITORING,High,MI59692,2022-07-09,2026-02-17,2026-09-05,CRITICAL_CARE,10.5.192.139
D0064,Patient Monitor,Philips,PAT-458,ICU,1.5,MONITORING,High,PH39389,2020-11-02,2026-03-02,2026-07-10,CRITICAL_CARE,10.52.215.6
D0065,Patient Monitor,Draeger,PAT-256,ICU,1.5,MONITORING,High,DR41266,2021-08-22,2026-02-08,2026-09-29,CRITICAL_CARE,10.243.56.120
D0066,Patient Monitor,Mindray,PAT-885,ICU,1.5,MONITORING,High,MI58351,2021-10-20,2026-02-08,2026-06-18,CRITICAL_CARE,10.247.80.28
D0067,Patient Monitor,Draeger,PAT-126,ICU,1.5,MONITORING,High,DR50888,2024-11-13,2025-11-28,2026-06-27,CRITICAL_CARE,10.20.152.177
D0068,Patient Monitor,GE Healthcare,PAT-204,ICU,1.5,MONITORING,High,GE49529,2024-02-26,2025-10-16,2026-05-18,CRITICAL_CARE,10.89.137.110
D0069,Patient Monitor,Mindray,PAT-170,ICU,1.5,MONITORING,High,MI76317,2022-01-28,2025-11-22,2026-09-10,CRITICAL_CARE,10.28.111.246
D0070,Patient Monitor,Mindray,PAT-750,ICU,1.5,MONITORING,High,MI70258,2021-07-06,2025-10-27,2026-07-16,CRITICAL_CARE,10.158.207.236
D0071,Patient Monitor,Draeger,PAT-893,ICU,1.5,MONITORING,High,DR73372,2023-07-27,2025-12-31,2026-07-29,CRITICAL_CARE,10.219.63.213
D0072,Patient Monitor,Philips,PAT-385,ICU,1.5,MONITORING,High,PH69087,2021-08-19,2025-12-02,2026-08-02,CRITICAL_CARE,10.8.127.218
D0073,Patient Monitor,Mindray,PAT-286,ICU,1.5,MONITORING,High,MI73904,2021-06-26,2026-01-02,2026-08-03,CRITICAL_CARE,10.72.226.153
D0074,Patient Monitor,Mindray,PAT-669,ICU,1.5,MONITORING,High,MI11330,2024-04-03,2026-01-07,2026-08-20,CRITICAL_CARE,10.126.143.195
D0075,Patient Monitor,GE Healthcare,PAT-807,GENERAL_WARD,1.0,MONITORING,High,GE72402,2023-08-26,2026-03-05,2026-05-31,GENERAL,10.76.57.104
D0076,Patient Monitor,GE Healthcare,PAT-413,GENERAL_WARD,1.0,MONITORING,High,GE97026,2024-06-16,2025-10-19,2026-09-20,GENERAL,10.89.109.191
D0077,Patient Monitor,Draeger,PAT-438,GENERAL_WARD,1.0,MONITORING,High,DR56112,2023-05-10,2026-01-04,2026-07-06,GENERAL,10.31.185.50
D0078,Patient Monitor,Mindray,PAT-222,GENERAL_WARD,1.0,MONITORING,High,MI80236,2021-04-07,2025-11-06,2026-07-17,GENERAL,10.186.151.251
D0079,Patient Monitor,Draeger,PAT-711,GENERAL_WARD,1.0,MONITORING,High,DR47093,2020-04-10,2026-01-10,2026-08-08,GENERAL,10.46.78.4
D0080,Patient Monitor,Draeger,PAT-229,GENERAL_WARD,1.0,MONITORING,High,DR45954,2020-01-18,2025-12-25,2026-06-09,GENERAL,10.164.223.193
D0081,Patient Monitor,Nihon Kohden,PAT-205,GENERAL_WARD,1.0,MONITORING,High,NI11607,2024-05-16,2025-11-07,2026-08-28,GENERAL,10.88.48.248
D0082,Patient Monitor,Philips,PAT-358,GENERAL_WARD,1.0,MONITORING,High,PH72616,2020-02-13,2025-11-04,2026-05-26,GENERAL,10.148.162.176
D0083,Patient Monitor,Philips,PAT-255,GENERAL_WARD,1.0,MONITORING,High,PH29555,2024-05-03,2026-01-05,2026-06-07,GENERAL,10.143.196.107
D0084,Patient Monitor,Draeger,PAT-710,GENERAL_WARD,1.0,MONITORING,High,DR91057,2021-09-13,2025-11-14,2026-08-29,GENERAL,10.77.221.151
D0085,Patient Monitor,Nihon Kohden,PAT-412,GENERAL_WARD,1.0,MONITORING,High,NI84531,2024-01-20,2026-02-12,2026-06-30,GENERAL,10.161.55.68
D0086,Patient Monitor,Philips,PAT-260,GENERAL_WARD,1.0,MONITORING,High,PH41439,2021-09-03,2026-01-28,2026-05-08,GENERAL,10.105.116.177
D0087,Patient Monitor,Draeger,PAT-581,GENERAL_WARD,1.0,MONITORING,High,DR48175,2020-04-10,2025-12-27,2026-09-01,GENERAL,10.19.176.60
D0088,Patient Monitor,Mindray,PAT-906,GENERAL_WARD,1.0,MONITORING,High,MI91927,2024-11-26,2026-01-18,2026-08-24,GENERAL,10.30.140.58
D0089,Patient Monitor,GE Healthcare,PAT-372,EMERGENCY,1.3,MONITORING,High,GE28643,2020-01-06,2025-12-21,2026-09-30,CRITICAL_CARE,10.236.74.113
D0090,Patient Monitor,Philips,PAT-579,EMERGENCY,1.3,MONITORING,High,PH49857,2023-05-17,2025-10-22,2026-09-11,CRITICAL_CARE,10.113.21.154
D0091,Patient Monitor,Philips,PAT-542,EMERGENCY,1.3,MONITORING,High,PH52247,2024-05-01,2026-02-14,2026-07-05,CRITICAL_CARE,10.247.173.215
D0092,Patient Monitor,Draeger,PAT-701,EMERGENCY,1.3,MONITORING,High,DR12719,2022-10-02,2026-01-24,2026-09-05,CRITICAL_CARE,10.133.167.114
D0093,Patient Monitor,Mindray,PAT-285,EMERGENCY,1.3,MONITORING,High,MI86720,2023-11-27,2025-11-04,2026-05-31,CRITICAL_CARE,10.121.90.105
D0094,Patient Monitor,Mindray,PAT-428,EMERGENCY,1.3,MONITORING,High,MI97835,2020-03-11,2025-11-24,2026-09-11,CRITICAL_CARE,10.74.170.242
D0095,Patient Monitor,Nihon Kohden,PAT-933,EMERGENCY,1.3,MONITORING,High,NI82102,2020-08-03,2025-12-19,2026-07-11,CRITICAL_CARE,10.83.30.249
D0096,Patient Monitor,Nihon Kohden,PAT-985,EMERGENCY,1.3,MONITORING,High,NI77449,2020-11-28,2025-10-22,2026-09-03,CRITICAL_CARE,10.106.14.49
D0097,Patient Monitor,Draeger,PAT-470,RADIOLOGY,1.2,MONITORING,High,DR91609,2023-11-15,2026-02-24,2026-06-29,CLINICAL,10.69.141.34
D0098,Patient Monitor,Mindray,PAT-548,RADIOLOGY,1.2,MONITORING,High,MI73532,2020-01-21,2026-01-07,2026-06-17,CLINICAL,10.80.142.4
D0099,Patient Monitor,Draeger,PAT-517,RADIOLOGY,1.2,MONITORING,High,DR22217,2021-02-15,2026-02-07,2026-06-16,CLINICAL,10.128.239.184
D0100,Patient Monitor,Mindray,PAT-621,RADIOLOGY,1.2,MONITORING,High,MI45838,2023-08-16,2026-01-06,2026-09-01,CLINICAL,10.142.38.99
D0101,Patient Monitor,GE Healthcare,PAT-713,RADIOLOGY,1.2,MONITORING,High,GE76616,2021-02-09,2025-11-23,2026-08-03,CLINICAL,10.240.202.130
D0102,Patient Monitor,Mindray,PAT-940,RADIOLOGY,1.2,MONITORING,High,MI10336,2022-12-10,2025-10-10,2026-10-03,CLINICAL,10.169.126.222
D0103,Patient Monitor,GE Healthcare,PAT-557,RADIOLOGY,1.2,MONITORING,High,GE80592,2023-06-11,2025-10-19,2026-09-24,CLINICAL,10.97.117.239
D0104,Patient Monitor,Mindray,PAT-990,RADIOLOGY,1.2,MONITORING,High,MI34727,2021-10-13,2026-01-09,2026-08-21,CLINICAL,10.12.82.191
D0105,Patient Monitor,Nihon Kohden,PAT-822,RADIOLOGY,1.2,MONITORING,High,NI59968,2023-11-26,2026-01-30,2026-09-11,CLINICAL,10.247.10.33
D0106,Patient Monitor,Draeger,PAT-704,RADIOLOGY,1.2,MONITORING,High,DR53515,2020-08-04,2025-10-26,2026-09-01,CLINICAL,10.4.185.37
D0107,Patient Monitor,Nihon Kohden,PAT-991,CARDIOLOGY,1.2,MONITORING,High,NI95823,2021-02-16,2026-01-01,2026-08-02,CRITICAL_CARE,10.160.178.102
D0108,Patient Monitor,Philips,PAT-972,CARDIOLOGY,1.2,MONITORING,High,PH53065,2024-07-11,2025-11-05,2026-09-23,CRITICAL_CARE,10.10.159.18
D0109,Patient Monitor,GE Healthcare,PAT-746,CARDIOLOGY,1.2,MONITORING,High,GE99705,2022-04-24,2026-02-14,2026-08-27,CRITICAL_CARE,10.251.26.195
D0110,Patient Monitor,Philips,PAT-554,CARDIOLOGY,1.2,MONITORING,High,PH31805,2022-01-02,2025-12-16,2026-05-22,CRITICAL_CARE,10.76.92.96
D0111,Patient Monitor,Nihon Kohden,PAT-249,CARDIOLOGY,1.2,MONITORING,High,NI42007,2024-07-19,2026-01-22,2026-06-20,CRITICAL_CARE,10.45.21.157
D0112,Patient Monitor,Nihon Kohden,PAT-734,CARDIOLOGY,1.2,MONITORING,High,NI99539,2021-08-19,2026-02-01,2026-07-06,CRITICAL_CARE,10.119.164.66
D0113,Patient Monitor,Nihon Kohden,PAT-361,CARDIOLOGY,1.2,MONITORING,High,NI97404,2020-08-10,2025-10-21,2026-06-17,CRITICAL_CARE,10.19.114.242
D0114,Patient Monitor,Mindray,PAT-701,CARDIOLOGY,1.2,MONITORING,High,MI49210,2023-12-09,2025-11-13,2026-07-24,CRITICAL_CARE,10.51.99.219
D0115,Patient Monitor,Nihon Kohden,PAT-209,CARDIOLOGY,1.2,MONITORING,High,NI41091,2023-10-12,2025-10-13,2026-07-22,CRITICAL_CARE,10.255.180.76
D0116,Patient Monitor,Philips,PAT-949,NEUROLOGY,1.1,MONITORING,High,PH96275,2023-05-01,2025-10-16,2026-05-20,CLINICAL,10.234.156.191
D0117,Patient Monitor,Nihon Kohden,PAT-952,NEUROLOGY,1.1,MONITORING,High,NI47512,2021-10-26,2025-12-09,2026-07-03,CLINICAL,10.163.49.159
D0118,Patient Monitor,Mindray,PAT-794,NEUROLOGY,1.1,MONITORING,High,MI96400,2021-11-04,2026-02-27,2026-07-26,CLINICAL,10.202.113.9
D0119,Patient Monitor,Draeger,PAT-473,NEUROLOGY,1.1,MONITORING,High,DR27224,2020-05-11,2025-11-23,2026-06-21,CLINICAL,10.52.34.202
D0120,Patient Monitor,Draeger,PAT-997,NEUROLOGY,1.1,MONITORING,High,DR57953,2024-09-09,2026-01-26,2026-07-12,CLINICAL,10.234.212.242
D0121,Patient Monitor,Nihon Kohden,PAT-925,NEUROLOGY,1.1,MONITORING,High,NI48684,2022-02-15,2026-02-18,2026-06-13,CLINICAL,10.194.248.58
D0122,Patient Monitor,Nihon Kohden,PAT-966,NEUROLOGY,1.1,MONITORING,High,NI83048,2022-02-26,2025-11-28,2026-05-11,CLINICAL,10.68.138.32
D0123,Patient Monitor,Nihon Kohden,PAT-477,NEUROLOGY,1.1,MONITORING,High,NI98188,2022-10-13,2025-12-04,2026-06-04,CLINICAL,10.173.60.121
D0124,Patient Monitor,Philips,PAT-734,NEUROLOGY,1.1,MONITORING,High,PH83584,2022-10-08,2026-02-21,2026-09-03,CLINICAL,10.233.180.78
D0125,Patient Monitor,Nihon Kohden,PAT-219,NEUROLOGY,1.1,MONITORING,High,NI28320,2020-01-10,2025-11-03,2026-06-06,CLINICAL,10.25.61.228
D0126,Patient Monitor,Draeger,PAT-238,NEUROLOGY,1.1,MONITORING,High,DR60940,2023-06-22,2025-10-22,2026-08-23,CLINICAL,10.151.191.187
D0127,Patient Monitor,GE Healthcare,PAT-524,PEDIATRICS,1.2,MONITORING,High,GE95841,2020-08-20,2025-11-25,2026-07-18,CLINICAL,10.9.177.95
D0128,Patient Monitor,GE Healthcare,PAT-554,PEDIATRICS,1.2,MONITORING,High,GE68287,2021-06-04,2025-12-05,2026-09-24,CLINICAL,10.231.251.166
D0129,Patient Monitor,Mindray,PAT-162,PEDIATRICS,1.2,MONITORING,High,MI62184,2022-04-04,2025-11-13,2026-05-31,CLINICAL,10.170.55.165
D0130,Patient Monitor,Draeger,PAT-121,PEDIATRICS,1.2,MONITORING,High,DR16629,2022-04-05,2025-10-16,2026-06-29,CLINICAL,10.18.213.196
D0131,Patient Monitor,Draeger,PAT-312,PEDIATRICS,1.2,MONITORING,High,DR86858,2021-04-11,2026-01-31,2026-05-08,CLINICAL,10.71.220.252
D0132,Patient Monitor,GE Healthcare,PAT-233,PEDIATRICS,1.2,MONITORING,High,GE80807,2022-03-04,2026-03-03,2026-06-10,CLINICAL,10.4.92.203
D0133,Patient Monitor,GE Healthcare,PAT-702,PEDIATRICS,1.2,MONITORING,High,GE52437,2020-03-09,2026-02-24,2026-06-09,CLINICAL,10.190.108.135
D0134,Patient Monitor,Philips,PAT-863,PEDIATRICS,1.2,MONITORING,High,PH18330,2023-08-25,2025-12-07,2026-09-16,CLINICAL,10.152.28.116
D0135,Patient Monitor,Draeger,PAT-326,PEDIATRICS,1.2,MONITORING,High,DR90623,2020-12-26,2025-10-27,2026-07-24,CLINICAL,10.118.165.247
D0136,Patient Monitor,Philips,PAT-162,PEDIATRICS,1.2,MONITORING,High,PH72781,2023-07-22,2026-02-10,2026-09-10,CLINICAL,10.183.233.114
D0137,Patient Monitor,Philips,PAT-182,PEDIATRICS,1.2,MONITORING,High,PH52219,2024-03-03,2026-02-05,2026-07-17,CLINICAL,10.160.163.150
D0138,Defibrillator,Cardiac Science,DEF-201,ICU,1.5,LIFE_SUPPORT,High,CA24996,2024-12-28,2026-01-13,2026-08-26,CRITICAL_CARE,10.116.228.59
D0139,Defibrillator,Cardiac Science,DEF-447,ICU,1.5,LIFE_SUPPORT,High,CA69441,2023-07-24,2026-02-13,2026-07-27,CRITICAL_CARE,10.110.81.171
D0140,Defibrillator,Physio-Control,DEF-483,ICU,1.5,LIFE_SUPPORT,High,PH30006,2023-02-03,2026-02-16,2026-05-31,CRITICAL_CARE,10.111.25.191
D0141,Defibrillator,Physio-Control,DEF-931,ICU,1.5,LIFE_SUPPORT,High,PH27054,2024-01-19,2025-10-17,2026-09-28,CRITICAL_CARE,10.85.172.32
D0142,Defibrillator,Cardiac Science,DEF-462,ICU,1.5,LIFE_SUPPORT,High,CA97207,2023-12-02,2025-12-26,2026-07-26,CRITICAL_CARE,10.91.27.148
D0143,Defibrillator,Zoll,DEF-258,EMERGENCY,1.3,LIFE_SUPPORT,High,ZO96079,2023-04-28,2026-02-10,2026-08-05,CRITICAL_CARE,10.217.143.95
D0144,Defibrillator,Philips,DEF-880,EMERGENCY,1.3,LIFE_SUPPORT,High,PH46512,2024-04-26,2025-11-20,2026-09-28,CRITICAL_CARE,10.250.197.210
D0145,Defibrillator,Philips,DEF-723,EMERGENCY,1.3,LIFE_SUPPORT,High,PH96223,2022-01-06,2025-12-30,2026-07-26,CRITICAL_CARE,10.236.87.90
D0146,Defibrillator,Philips,DEF-285,EMERGENCY,1.3,LIFE_SUPPORT,High,PH28776,2024-11-13,2026-02-20,2026-06-13,CRITICAL_CARE,10.190.163.249
D0147,Defibrillator,Philips,DEF-193,OPERATING_THEATRE,1.4,LIFE_SUPPORT,High,PH79531,2021-07-14,2025-11-13,2026-08-03,CRITICAL_CARE,10.41.95.80
D0148,Defibrillator,Physio-Control,DEF-895,OPERATING_THEATRE,1.4,LIFE_SUPPORT,High,PH84395,2024-02-02,2026-01-29,2026-06-17,CRITICAL_CARE,10.194.159.13
D0149,Defibrillator,Philips,DEF-378,OPERATING_THEATRE,1.4,LIFE_SUPPORT,High,PH68079,2023-08-20,2025-11-16,2026-08-22,CRITICAL_CARE,10.70.56.194
D0150,Defibrillator,Philips,DEF-453,OPERATING_THEATRE,1.4,LIFE_SUPPORT,High,PH66349,2020-05-22,2025-11-05,2026-09-19,CRITICAL_CARE,10.171.79.12
D0151,Defibrillator,Zoll,DEF-504,OPERATING_THEATRE,1.4,LIFE_SUPPORT,High,ZO88554,2020-01-07,2025-12-22,2026-07-01,CRITICAL_CARE,10.197.36.196
D0152,Defibrillator,Physio-Control,DEF-396,CARDIOLOGY,1.2,LIFE_SUPPORT,High,PH53007,2020-01-16,2025-11-19,2026-06-21,CRITICAL_CARE,10.34.98.137
D0153,Defibrillator,Zoll,DEF-612,CARDIOLOGY,1.2,LIFE_SUPPORT,High,ZO83233,2022-02-13,2026-02-27,2026-08-27,CRITICAL_CARE,10.5.118.236
D0154,Defibrillator,Philips,DEF-982,CARDIOLOGY,1.2,LIFE_SUPPORT,High,PH51033,2024-07-19,2025-11-26,2026-08-22,CRITICAL_CARE,10.75.30.104
